Time,CO,RH,NO2,Ozone,PM10,PM2.5,SO2,Temp
02-07-2019 00:15,2.3,58.06,206.94,4.69,389.4,231.2,11.52,18.74
02-07-2019 00:30,2.14,58.15,205.14,4.45,389.4,231.2,12.13,18.39
02-07-2019 00:45,1.86,59.7,195.08,4.32,404.6,238.1,11.6,17.99
02-07-2019 01:00,1.81,60.91,191.02,4.3,409.2,240.1,10.45,17.72
02-07-2019 01:15,1.86,61.01,190.17,4.53,409.2,240.1,10.36,17.95
02-07-2019 01:30,1.88,63.92,188.85,4.34,409.2,240.1,9.9,17.53
02-07-2019 01:45,1.88,65.23,189.71,4.07,410.1,230,10.7,17.36
02-07-2019 02:00,1.85,65.23,187.45,4.65,410.4,227,11.37,17.32
02-07-2019 02:15,1.82,66.85,190.28,4.73,410.4,227,11.2,16.98
02-07-2019 02:30,1.85,67.49,179.84,4.62,410.4,227,10.19,17.07
02-07-2019 02:45,1.88,65.23,189.71,4.07,410.1,230,10.7,17.36
02-07-2019 03:00,1.89,67.3,168.07,4.63,420.7,251.5,9.72,17.38
02-07-2019 03:15,1.91,68.88,167.58,4.76,420.7,251.5,9.51,17.03
02-07-2019 03:30,1.9,69.18,162.46,4.8,420.7,251.5,8.68,17.07
02-07-2019 03:45,1.86,67.19,177.21,4.31,418.3,245.8,9.81,17.27
02-07-2019 04:00,1.92,69.5,150.18,4.48,426.1,259.5,9.13,17.15
02-07-2019 04:15,1.85,70.9,144.49,4.7,426.1,259.5,7.26,16.94
02-07-2019 04:30,1.93,71.12,144.51,4.69,426.1,259.5,7.63,16.72
02-07-2019 04:45,1.86,70.69,158.9,4.43,424.9,257.6,8.8,16.76
02-07-2019 05:00,1.69,71.01,162.26,4.46,425.2,280.9,8.29,16.28
02-07-2019 05:15,1.53,71.42,153,4.26,425.2,280.9,7.96,16.17
02-07-2019 05:30,1.49,71.45,146.99,4.18,425.2,280.9,7.04,16.36
02-07-2019 05:45,1.8,71.89,153.78,5.06,425.4,275.9,7.81,16.55
02-07-2019 06:00,1.39,71.07,138.52,4.25,423.8,273.3,6.82,16.61
02-07-2019 06:15,1.34,72.07,129.76,3.7,423.8,273.3,6.33,16.59
02-07-2019 06:30,1.42,71.69,130.19,4.07,423.8,273.3,6.52,16.62
02-07-2019 06:45,1.44,71.69,142.52,4.1,424.1,275.1,7.11,16.2
02-07-2019 07:00,1.46,69.6,142.02,4.59,398.6,249.1,8.4,17
02-07-2019 07:15,1.48,67.5,145.11,5.01,398.6,249.1,10.03,17.48
02-07-2019 07:30,1.46,63.4,163.44,5.44,398.6,249.1,15.03,18.14
02-07-2019 07:45,1.45,69.41,134.12,4.12,404.2,254.5,7.48,16.85
02-07-2019 08:00,1.44,55.91,193.87,7.39,394.3,257.5,29.82,19.85
02-07-2019 08:15,1.41,53.57,204.34,8.96,394.3,257.5,31.46,20.51
02-07-2019 08:30,1.34,50.63,195.02,14.79,394.3,257.5,31.74,21.02
02-07-2019 08:45,1.44,59.25,183.49,5.9,395.3,255.6,23.47,18.88
02-07-2019 09:00,0.76,43.7,98.45,34.55,397.2,251.2,24.9,22.18
02-07-2019 09:15,0.71,41.89,88.19,38.33,397.2,251.2,22.95,22.72
02-07-2019 09:30,0.67,41.48,80.16,41.32,397.2,251.2,22.49,22.86
02-07-2019 09:45,1,47.01,140.32,28.3,396.5,252.7,27.08,21.6
02-07-2019 10:00,0.69,41.24,71.96,39.74,374.2,228.6,19.1,24.08
02-07-2019 10:15,0.67,39.61,69.47,41.23,374.2,228.6,19.23,24.64
02-07-2019 10:30,0.59,38.22,61.36,44.68,374.2,228.6,19.91,24.75
02-07-2019 10:45,0.67,41.48,75.17,41.13,379.6,233.9,19.95,23.33
02-07-2019 11:00,0.68,38.82,76.66,43.86,314.7,187.4,18.3,25.24
02-07-2019 11:15,0.68,38.05,76.88,42.94,314.7,187.4,19.97,26.05
02-07-2019 11:30,0.57,37.31,63.07,46.11,314.7,187.4,27.3,26.08
02-07-2019 11:45,0.69,37.52,74.48,42.05,328.6,197,18.83,25.5
02-07-2019 12:00,0.63,36.51,57.24,49.14,276.2,187.1,32.22,26.83
02-07-2019 12:15,0.67,36.47,56.68,51.67,276.2,187.1,32.74,26.6
02-07-2019 12:30,0.66,35.82,51.59,52.78,276.2,187.1,34.01,26.63
02-07-2019 12:45,0.59,36.59,52.89,47.59,285.2,187.1,29.55,26.6
02-07-2019 13:00,0.66,34.46,44.66,52.69,266.9,176.6,34.43,27.52
02-07-2019 13:15,0.67,34.14,44.84,52.94,266.9,176.6,32.47,27.47
02-07-2019 13:30,0.65,33.66,44.34,55.96,266.9,176.6,30.8,27.53
02-07-2019 13:45,0.67,34.82,47.17,52.57,269.1,178.9,35.81,27.26
02-07-2019 14:00,0.68,34.01,49.27,55.16,270.4,168.3,28.5,27.8
02-07-2019 14:15,0.7,34.21,51.48,63.41,270.4,168.3,26.4,28.05
02-07-2019 14:30,0.73,34.26,54.04,86.4,270.4,168.3,24.12,27.94
02-07-2019 14:45,0.68,33.92,47.05,54.49,269.6,170.2,29.75,27.74
02-07-2019 15:00,0.78,34.85,56.74,78.67,263.8,162.8,19.61,28.12
