Time,CO,RH,NO2,Ozone,PM10,PM2.5,SO2,Temp
02-07-2019 00:15,4.54,76.26,175.87,4.19,371.7,203.1,8.26,17.65
02-07-2019 00:30,5.1,79.29,179.45,4.16,371.7,203.1,15,16.82
02-07-2019 00:45,5.05,79.13,177.07,4.14,371.7,203.1,14.12,16.86
02-07-2019 01:00,4.83,80.05,172.13,4.17,423.3,217,13.06,16.62
02-07-2019 01:15,4.03,80.9,150.14,3.75,423.9,217,10.68,16.39
02-07-2019 01:30,3.83,83.18,152.4,3.47,423.9,217,9.3,16.2
02-07-2019 01:45,3.84,85.73,142.06,3.2,423.9,217,8.63,16
02-07-2019 02:00,3.74,86.55,140,3.27,384.7,212.5,8.07,15.76
02-07-2019 02:15,3.73,88.57,126.52,3.26,384.2,212.5,7.5,15.71
02-07-2019 02:30,3.46,87.82,132.06,3.14,384.2,212.5,6.81,15.65
02-07-2019 02:45,3.25,87.48,134.37,3.26,384.2,212.5,6.29,15.59
02-07-2019 03:00,3.26,88.43,127.1,3.26,341.4,215.7,5.92,15.59
02-07-2019 03:15,3.18,89.78,112.91,2.99,340.9,215.7,5.51,15.6
02-07-2019 03:30,3.08,89.71,116.28,2.85,340.9,215.7,5.38,15.53
02-07-2019 03:45,2.92,89.64,115.68,2.88,340.9,215.7,5.16,15.42
02-07-2019 04:00,2.85,90.27,111.5,2.88,301.1,201.3,4.89,15.26
02-07-2019 04:15,2.35,90.89,113.32,2.73,300.6,201.3,2.93,15.38
02-07-2019 04:30,2.29,90.7,120.01,2.86,300.6,201.3,3.96,15.15
02-07-2019 04:45,2.2,90.42,112.71,2.92,300.6,201.3,4.26,15.19
02-07-2019 05:00,2.28,90.02,109.43,2.73,245.4,195.6,4.47,15.25
02-07-2019 05:15,2.31,90.18,101.41,2.81,244.7,195.6,4.24,15.15
02-07-2019 05:30,2.22,91.54,101.9,2.72,244.7,195.6,4.45,15.26
02-07-2019 05:45,2.22,89.49,106.87,2.85,244.7,195.6,4.39,15.24
